
 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861697=1000169|NA|ABORT|IN|INR|902861697^iibfexam^801554342^101202109|902861697|944|Your session has expired. Please re-attempt the transaction.|NA|NA|2021-08-09 13:00:49|NA|NA|1000169|0.00^0.00||||||||||

 902861698=1000169|NA|ABORT|IN|INR|902861698^iibfexam^801689778^101202109|902861698|944|Transaction Aborted|NA|NA|2021-08-09 13:01:08|NA|NA|1000169|0.00^0.00||||||||||

 902861709=1000169|2859341070930|BOOKED|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Booked|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

 902861709=1000169|2859341070930|BOOKED|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Booked|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

 902861709=1000169|2859341070930|BOOKED|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Booked|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861714=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=1000169|4124919414222|BOOKED|IN|INR|902861712^iibfexam^801587869^101202109|902861712|472|Transaction Booked|sbiepay|NA|2021-08-09 13:34:05|DC|10001692021080900073|1000169|0.00^0.00||||||||||

 902861717=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=1000169|NA|No Records Found|NA|NA|NA|902861718|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861709=1000169|2859341070930|BOOKED|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Booked|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=1000169|4124919414222|BOOKED|IN|INR|902861712^iibfexam^801587869^101202109|902861712|472|Transaction Booked|sbiepay|NA|2021-08-09 13:34:05|DC|10001692021080900073|1000169|0.00^0.00||||||||||

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=1000169|5817581800314|BOOKED|IN|INR|902861711^iibfexam^902861711^101202109|902861711|944|Transaction Booked|PUNB|NA|2021-08-09 13:32:31|NB|10001692021080900071|1000169|2.00^0.36||||||||||

 902861712=1000169|4124919414222|BOOKED|IN|INR|902861712^iibfexam^801587869^101202109|902861712|472|Transaction Booked|sbiepay|NA|2021-08-09 13:34:05|DC|10001692021080900073|1000169|0.00^0.00||||||||||

 902861718=1000169|NA|No Records Found|NA|NA|NA|902861718|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861709=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861721=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861709=1000169|2859341070930|BOOKED|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Booked|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

