
 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855382=

 33063=

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=

 902855384=1000169|NA|ABORT|IN|INR|902855384^iibfexam^iibfdupcer^801203900|902855384|236|Transaction Aborted|NA|NA|2021-07-01 13:55:42|NA|NA|1000169|0.00^0.00||||||||||

 33063=

 902855376=

 902855380=

 902855383=

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33064=1000169|NA|ABORT|IN|INR|33064^iibfexam^IIBFDUP^510312852|33064|118|Transaction Aborted|NA|NA|2021-07-01 13:57:07|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855387=

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=

 902855385=

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=

 812253807=

 902855385=

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855388=1000169|NA|ABORT|IN|INR|902855388^iibfexam^iibfdupcer^801179776|902855388|236|Transaction Aborted|NA|NA|2021-07-01 14:11:40|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=

 33063=

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

